_id,shiptocustomer2,shiptocustomer,shiptocustomername,storegrade,product,productdescription,gencat2,datasetgroup,msrpincltax,soldunits,inventory,netretailvalue,fileid,createdby,gencat_contrib,abc_gencat_level,store_contrib,abc_store_level
vKJkXXixhvmWaXWSo,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,16960-0060,BLRMT-GRAPHIC-CRWNK T-1 BNG GRAPHIC WHIT,MT,D1,999,187,165,178296.36,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.05363665477833925,A,0.01764395495267995,A
9JsKTaoBKKxay7sZs,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,18298-0496,BLR MB 511T SLIM BLR MB H118 BLACK SEA,MB,D1,3299,32,31,101890.78,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.03059357693595005,A,0.010082967102712715,A
WNBk5tjq4cAsKcmag,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,65504-0353,65504 SKINNY STRAIGHT BLR MB H118 VALEN,MB,D1,2499,39,19,96562.71,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.02899377841183308,A,0.00955570885097541,A
fpMz6a46HgFfpXFns,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,21306-0258,WB _711 _ SKINNY BLR WB H118 PITCH BLAC,WB,D1,2399,35,61,82465,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.03458830691502233,A,0.008160619460614632,A
gwhRdrpZiTbXLjYbT,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,18298-0487,BLR MB 511T SLIM BLR MB H118 PINES,MB,D1,2899,27,16,76806.83,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.02306190670845229,A,0.0076006949809751985,A
7Ng4WomkBKb7BASMc,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,21357-0027,BLRWB_710_ALT 5PKT-Z INDIGO RIDGE BNG,WB,D1,3099,26,48,75335.79,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.03159810133033007,A,0.007455122948581545,A
Kx4NNHYDqrfL76Dvq,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,52445-0021,BLRMB_511STYDNM STITCHES BLR MB H118 COU,MB,D1,3999,19,9,73982,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.02221372737430665,A,0.007321153809921684,A
4a47RJJ9FrNS4uGP2,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,18298-0486,BLR MB 511T SLIM BLR MB H118 VALENCIA,MB,D1,2499,27,26,67473,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.02025934453146161,A,0.006677032400000619,A
qrf2qcmhkyGsQyDZT,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,21306-0210,WB _711 _ SKINNY BLR WB H118 REDCRANE,WB,D1,3799,18,6,66510.08,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.027896332504489033,A,0.006581743202268065,A
yiQk4AHGPicJ29rXf,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,28810-0024,BLRWB_721_LINE8 BLR WB H118 ALFIE,WB,D1,3499,19,3,66215.13,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.027772621583194112,A,0.006552555368521527,A
sEcuGAWnLPdwmj7QL,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,17621-0074,BLRMT_WOVBARSTOW DENIM BARSTOW INDIGO TI,MT,D1,2999,22,9,65978,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.019848073224631547,A,0.006529089319983413,A
XjqEdsnnjZQjCWpzb,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,23677-0114,BLRMB_513 BLR MB H118 LORD WIN,MB,D1,3499,18,9,62982,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.018910883424192122,A,0.006232609408457294,A
YtnEoDefxBkoHhs7e,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,21944-0075,WB 311 SHAPING SKINNY BLR WB H118 BUFFL,WB,D1,3499,18,5,61482,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.025787404180554207,A,0.006084171535530331,A
HFTKYFE96cNnd7P32,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,56747-0000,BLRMB_512STYDNMHAW CRS BLR MB H118 CYPR,MB,D1,3999,15,7,59985,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.018011008577056373,A,0.005936030538349223,A
hF23K2S2SSpac5XbP,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,18298-0495,BLR MB 511T SLIM BLR MB H118 HOLLYWOOD,MB,D1,3299,20,39,59980,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.018009507284351776,A,0.005935535745439467,A
PDYuv5p7JbrsCadHm,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,21306-0190,WB _711 _ SKINNY BLR WB H118 GRAY CATBI,WB,D1,3099,20,6,58980,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.024737989957533704,A,0.005836577163488159,A
gg3iC5Pp4j5YHkmoo,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,18298-0364,BLR MB 511T SLIM BLR MB H118 MC ABEE,MB,D1,2999,20,8,56981,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.017109031920134184,A,0.005638758958167493,A
vNJNv2axfBrTJbgdT,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,56749-0002,BLRMB_512 STYDNM STITCH BLR MB H118 CAM,MB,D1,3499,16,8,55984,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.01680967415483744,A,0.005540097251962039,A
FZc2eRxnmfeHKhhDM,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,21306-0259,WB _711 _ SKINNY BLR WB H118 DUSK RINSE,WB,D1,2799,23,24,55670.52,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.023349894280954204,A,0.005509075715691943,A
hsw3NXSwNnNEHfW9F,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,52641-0009,BLR_WB_MILEHIGH BLR WB H118 ARTICLOON,WB,D1,3499,16,2,55590.74,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.023316432143978758,A,0.005501180800023867,A
y8CTDv6vsuQSWiF33,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,65504-0354,65504 SKINNY STRAIGHT BLR MB H118 PINES,MB,D1,2899,19,21,54268.77,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.016294661697696083,A,0.0053703605234416965,A
rxm4gR2Y45qZKtBng,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,24869-0024,BLRMT_CONVENTIONALTRUCKE AUTHNC IND PATT,MT,D1,4699,12,4,53789,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.016181272707261607,A,0.005322883164578918,A
3nbtePWCiyYnibmcc,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,21306-0235,WB _711 _ SKINNY BLR WB H118 TOBY,WB,D1,2799,20,6,52980,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.022221409086980934,A,0.005242825671780309,A
TK4iQbreEb78NB7ug,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,56748-0000,BLRMB_512STYDNMSLF BELT BLR MB H118 BAR,MB,D1,3499,15,9,52485,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.015759069520160103,A,0.005193841173714411,A
w4iQEyyG9DNcrpzfy,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,55715-0001,BLRMB_511STYDNMHAW COIN BLR MB H118 MAR,MB,D1,3999,13,11,51987,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.01560954076678219,A,0.00514455979990266,A
gF2E2TPTb2t5iRsRW,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,18298-0494,BLR MB 511T SLIM BLR MB H118 WINEYARD,MB,D1,3299,17,31,51284,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.015398459012515778,A,0.005074991916790891,A
mXpWDtmZ4NCG8CnFb,0020013371,20013371,PRAK BLR FORUM LEV,Platinum + Medium,18298-0264,BLR MB 511T SLIM BLR MB H117 BLUE ROCK,MB,D1,3999,13,15,49687,kPvE24knGKZTJ4JMT,XiLrL66st5PPqjCAZ,0.014918946122667332,A,0.004916955061414651,A
